entity1,entity2,similarity
different parameter,various parameter,0.8829561033652924
main menu,system menu,0.8829261805023121
order payment,purchase order,0.8828515372770671
quantity existing product,existing product,0.8826882333303062
detail,detailed information,0.8826566309032222
register,registration process,0.8826208385404575
customer record,customer database,0.8824824610982533
action taken,appropriate action,0.8823725245757138
returned product,returned product price,0.8822936068387708
partial retail number,partial wholesale number,0.8822695417980027
discount applied,discount rate,0.8822196381573844
sale activity,sale information,0.8821765701615235
user,user po,0.8820893605483018
sale person option,sale person sale manager,0.8820483600006321
select delivery identified retail,retail delivery quantity,0.8819957058988306
better overview sale activity,sale activity,0.8819625068753256
cash content,cash content end day,0.8818912592759043
access relevant input form,relevant input form,0.8818485738834033
common communication customer opportunity,customer opportunity,0.8818199094479249
incoming shipment,manage incoming shipment,0.8816140682035252
incoming order,delivery order,0.8816121107213295
reading inventory mysql database,updating inventory mysql database,0.881579086218305
ecommerce store,web store,0.8815456266012048
search,searched product,0.881541304956597
existing domain,domain,0.8813770627430344
sync,sync client,0.8812530110626701
backend inventory system,inventory management,0.8812127932498997
opportunity pipeline,pipeline,0.8811964878036205
inventory amount,current inventory,0.8811347788843849
delivery due date,delayed delivery,0.8808278477625153
transaction,user transaction processed,0.8807719296203125
shipping process,shipping,0.880761332166947
item id,product id,0.8807110068304513
marketing campaign,roi marketing campaign,0.8806342449742695
gift card purchase item shop,sell gift card,0.8805674833569783
organization,part organization,0.8805418437616686
purpose delivery,delivery,0.8805264793756769
delivery address,delivery order,0.880460294413342
business need,every business requirement,0.880413256576654
email contact address,email,0.8802871305025632
customer buy minimum quantity,minimum quantity per supplier,0.8800761530373868
stock purchase,product stock,0.8798979866809751
confirmed sale order,purchase order,0.879871237371011
valid,validated,0.8798277017715683
quotation specific product,specific product variant quotation cart,0.8798148710747156
search product,finding product,0.8796447904310603
receipt,receipt date,0.8796089453541815
new employee,employee,0.8795687403858509
tax,tax calculation,0.8795379849917787
fefo,fifo,0.8794403714706149
quotation,quote,0.8794073510417927
product registration,registration,0.8794038527906096
detailed product spec,product detail,0.8792460708035141
customer manufacturer,customer product,0.8792013810692823
detail user,relevant user detail,0.8791579692594351
returned product transaction,returned product,0.8789977593914915
appropriate information,necessary information,0.878972661001252
report detailing retail delivery,delivery report,0.8788782701131015
sale order invoice,sale order,0.878874900506208
cart checkout,product cart,0.8788675807318364
return,return transaction,0.8788593615421205
shipment,shipment date,0.8786664406963676
retail detail,report detailing retail delivery,0.8786538275719034
communication client ’ local po web store,store information client local po intuit,0.8786487684034839
contract delivery quantity,wholesale delivery quantity,0.8786275159073316
payment verification,payment processing,0.8785663110177536
file storage,storage need,0.8785282502752527
accounting record,realtime accounting record,0.8784751617556132
payment type,payment term,0.8784517537452416
ecommerce store owner,ecommerce store,0.8784496293040367
checkout,final checkout,0.8783037304539547
adding product final product added,product addition process,0.8781580840521475
contract delivery product,contract delivery quantity,0.8781570745229972
cash register,total amount cash register,0.878080811035066
new employee record,new employee,0.8780782478743352
compelling photosets,photoset,0.8780066034716829
sale pipeline,pipeline,0.8779920671970651
sync client,user sync,0.8779330401098224
privilege store owner,store owner,0.8779318653203749
contract option,contract,0.8778461009301202
new user account,user account,0.877838553082045
detailed report employee information,detailed report customer information,0.8777195738768117
related customer data,customer information database,0.8777096598016438
company,company partner,0.877693210061288
detailed report employee information,produce detailed report customer information,0.877560399818863
report returned product,report selected sold product,0.8775416464357866
employee name,list employee,0.8775245211854319
necessary update,updated information,0.8774638510700361
product number,unique product number,0.877427173300372
print option,take print,0.8772071053099556
client inventory,client local po inventory,0.8771821699724065
warehouse product order,warehouse operation,0.8771737625170122
client customer,specific customer,0.8769669262876756
client web store,web store,0.8769403999908512
full stock move report,stock move,0.8768372320897242
generated report,generation dynamic report,0.8767777415431515
quantity time,quantity,0.8767395208425914
important information,information,0.876507023631716
client customer buy item,client customer,0.8764986364520505
stock number existing product,unique stock number,0.8763010021890099
sale assistant error missing data,sale assistant error missing required field,0.8762778766899579
wholesale price,detail wholesale,0.8762729325015592
different size,size,0.8759608906677282
user admin role,admin,0.8756919965512135
quote sale order,sale order,0.8755482009964084
admin normal user,user admin role,0.8755394206324032
low stock,stock level,0.8755382243115117
new retail record,new retail,0.8755380857383386
inventory shop section,product inventory,0.8753414477982705
product already stock,stock,0.8752977415145519
create custom coupon,coupon,0.8752938353380295
customer preference,set customer preference,0.8752598767584079
payment successfully processed,payment processing,0.8752065050925715
promotion,promotion id,0.8751560064860501
partial retail number,wholesale partial number,0.8751068807924969
delivery receipt number,payment receipt number,0.8750464735562987
user,user account,0.8749808856212422
product id,user enter product id,0.8749482624301212
customer record,identify customer,0.8746352017133029
company sell,sell,0.8745914859763788
creation new similar product,existing product,0.8745465863696819
different price,price,0.8743969682293848
draft invoice,invoice,0.8743519283490946
online stock,available stock,0.8743501616704491
returned product quantity,returned product,0.8742865105630396
customer number,retail number,0.8742563275131896
inventory action,inventory management,0.8741524991718681
deleting inventory local po,creating inventory local po,0.8741023746518415
desired shipment date,delivery date,0.8740391280360076
privilege admin,admin,0.873940415557591
three type,two type,0.8738390986814621
username password sale manager,user sale manager,0.8738035656867705
browse delivery information related contract sale,browse delivery information related retail,0.8736646718737592
buyer,sell,0.8736430510301814
detail existing product,find existing product,0.8735788283581238
sale assistant,sale person sale manager,0.873571045724683
appropriate information,information,0.8735104975992978
percentagebased discount,discount,0.8734880518641236
view detailed information one sold product,product detail,0.8734683166317149
adding multiple product delivery,adding multiple product,0.8734024534648638
kpi dashboard,dashboard,0.8733581837299369
support,support service,0.8731245250318838
downloadable window service package,window service installer package,0.8731020681536243
quantity new product,existing product,0.8729652086702955
payment section,payment information,0.8729176692729252
ecommerce store performance,ecommerce store,0.8728950660829666
view detailed information one sold product,product information,0.8728230576006459
printable barcode order,barcodes,0.8727214776332087
item delivered,delivery,0.8725535375272776
assigned staff,staff name,0.8725137801181136
client,client store,0.8725050554811666
item delivered,shipment,0.8725038809536263
received quantity,quantity available,0.8725001679287381
account,account holder,0.8724893072633936
existing promotion system,promotion,0.8724586786926131
customer option,specific customer,0.8724118066945289
store information client local po intuit,client local po inventory,0.8723707071683404
web store owner account,ecommerce store owner,0.8723614347257085
browsing sale data,sale information,0.8722494831723224
customize pipeline,pipeline,0.8722360494241064
customer number access key,access key,0.8721920773775773
electronic payment,payment processing,0.8721421589324405
order date,shipment date,0.8719814105676513
look customer,customer,0.8719806891832809
salesperson,sale manager,0.871900022776892
return,return entry,0.8718449221118489
capacity,memory capacity,0.8717606522649979
generation stock statement report,stock statement,0.8717054726209872
service contract,contract,0.8716128587150538
order number,order,0.871608616112564
generation return detail report,report generation,0.8715661260922497
reporting task,reporting,0.8714637759499918
sale person historical data option,sale person information,0.8713483049011045
customer buy minimum quantity,minimum wholesale quantity,0.8712563614834713
payment verification,payment detail,0.8710959989851473
correct customer,specific customer,0.8708715027233573
conversion,conversion rate,0.8707720474788436
location,two location,0.8707358645268174
relevant information buyer upon purchase,sale information,0.870711673103095
multiple order time,time new order,0.870556712945996
advanced filter,smart filter,0.8704540941825809
zoho commerce store,zoho commerce theme,0.8704479995786365
payment section,payment detail,0.8702401285574282
product number,product id,0.8702331591920129
builtin search,search,0.8701418575316037
customer priority,priority,0.8700958603544333
detail,required detail,0.8700202346737851
different customer name,associated customer name,0.8700184555056645
sale per salesperson,salesperson,0.8698598980832426
entered time period date,specific time period date,0.869856542783201
company,multiple company,0.8698233133196079
new product,product new retail,0.869779395380822
selected product,selected product contract,0.869754358522919
wholesale price,wholesale order,0.8696890258978773
purchase,purchase order,0.8696158967884844
barcode corresponds product backend catalogue,barcode nomenclature,0.8696026091797799
efficient workflow management,workflow,0.8694514648662705
search engine,search,0.8692650082932547
date range,specified date,0.8692276386255957
exact position within warehouse,warehouse operation,0.8689668913144147
unmetered bandwidth,unmetered bandwidth file storage,0.8688467697393059
name product,certain product,0.8688150745467544
barcode corresponds product backend catalogue,barcode,0.8688080182131384
product title,name product,0.8687373498482558
opportunity customer,customer,0.8687307960043558
retrieved discount rate,discount rate product price,0.8685442385335166
product original price,price product sold,0.8685387201759802
promotion associated coupon,coupon,0.8685142828154042
payment option,order payment,0.8684752397244888
main menu,menu option,0.868459790158131
purchase,buyer,0.8683509788856805
specific wholesale transaction,wholesale delivery,0.8683508364817822
identification wholesale delivery product,wholesale,0.8683501173917523
user information time,user time login,0.8682787066571006
backend inventory system,modern inventory management,0.868173501046556
detail returned item,returned item,0.8680909791843323
client store,client customer,0.8679509322161687
barcode printed loyalty card,barcodes,0.8679080142972788
item online,online,0.8678078645038564
retail price,sale price,0.867800233766871
product database,database,0.867754680728958
product delivery,delivery process,0.867627150359989
current promotion,promotion id,0.8675699355430602
online customer,online purchase,0.8675127344474394
total every payment type,payment sum,0.867453217069602
desired product,certain product,0.8673699922278439
required detail entered,required information,0.867326331121161
add,added amount,0.8671310334264252
custom color,different color,0.8670077030671213
one store,store,0.8668795649522882
product delivery,retail delivery,0.8667722653043811
address book,address detail,0.8665137034908245
generation return detail report,generated report,0.8663849989244301
partial number wholesale access key,wholesale partial number,0.8663494775198697
loyalty program,price weight loyalty program,0.8663325037941223
existing staff member,assigned staff,0.8663109818371627
item web cart,product cart,0.8661709449482917
specified sold product,price product sold,0.8660665365724529
sale amount,sale,0.8659115482235367
deleting inventory local po,local po inventory,0.8658005221561883
returned product quantity,quantity existing product,0.865775228243767
service,support service,0.8657017688140253
less sold product,sold product,0.8656677048586597
detail specific employee,list employee,0.8656311508902459
corresponding product information,necessary product information,0.8653964657553748
access key wholesale number,customer number access key,0.8653682288633915
local po,local po inventory,0.8652602075307332
scheduled date,specified date,0.8650456765474629
form,form builder,0.865036744242045
alphabetically sorted list customer,alphabetically sorted list product,0.8650083768489422
customer payment,payment processing,0.8649370944385015
important information,appropriate information,0.864929648233421
auto popup receiving call,call automatically,0.8649187437526082
necessary information correctly filled,required detail entered,0.8648256929955963
batch item,batch number,0.864691405897136
electronic payment,payment,0.8645988005878471
online inventory updated,online inventory database,0.8645777071106833
schedule,scheduled date,0.8644829834039967
promotion associated coupon,promotion,0.8643766344228379
customer preference,customer option,0.8642833695388434
add reference used supplier item,supplier reference,0.8642485831850684
client web store,web store store,0.8641957412837542
reminder,reminder email,0.8641684985598688
warehouse product order,warehouse,0.8641392046746283
related customer data,customer database,0.8640944761323734
customer priority,customer preference,0.8640881897401833
corresponding access right permission,user permission,0.8640821959765725
appropriate category name,category,0.8640542687278557
order amount,ordered delivered quantity,0.8639474746536322
browse delivery information related retail,retail delivery,0.863911212382172
specific quantity,quantity available,0.8637767703270096
existing contract sale data,payment data contract sale,0.8637693359139391
cart checkout,checkout,0.8637212300167773
recommending related product,related product,0.8635849707879726
associated client computer next sync,sync client,0.8635738699251946
product,certain product,0.8635626732628516
customer keep track order,customer order,0.8635372015945934
find customer product,identify customer,0.8635082713825
stock move,stock,0.8634070679930148
product registration,sale manager register new product,0.8634030185470539
ewallet store money website online payment,online payment,0.8633627808923595
cash received greater equal amount paid,subtracting amount paid cash received,0.8633357003264348
relevant employee detail,detailed report employee information,0.863335689762349
shipping carrier,shipping,0.8632334728501221
order date,desired shipment date,0.8631357966391688
current personal information customer,customer information,0.8631100323097669
shipping carrier,shipping information,0.8631027666830873
future order,time new order,0.8630805000094384
one composite product,multiple product,0.8629308908583229
change made customer personal information,current personal information customer,0.8628626602192571
returned product price,returned product quantity,0.8628090356867274
product registration form,customer registration form,0.8625620829983537
odoo po,odoo esign,0.862517651173565
contract number,unique contract number,0.8624642834357439
time period,specific period time,0.8623386089286547
online customer,customer,0.8622671395265824
sale manager logged system allowing access functionality,sale manager login session,0.8620290544682349
gift discount,discount,0.8619833181018968
database limited amount time web store owner account,web store owner account,0.8619230258911604
invoice aging,invoice,0.8618375085715518
streamline warehouse operation,warehouse operation,0.8618087164786505
size,size color,0.8617007027575545
sale assistant update email address,update email address,0.8616471444606646
ecommerce business,specific ecommerce module,0.8616208384989512
vital storage location,storage location,0.8615863191193996
contract using contract number access key,customer number access key,0.8614806898830336
selected period,specific time period,0.8614568747993349
cost scrap,scrap,0.8614399744045409
business,business opportunity,0.8614369472845379
necessary update,successfully updated,0.8613181257374601
option print return report,print option,0.8610261804689463
sale manager logged system allowing access employee registration functionality,sale manager logged system,0.8610226825806684
description stage,specific stage,0.8608398167683322
search existing customer,product existing customer,0.8607813350704598
requirement,required detail,0.8607416498348068
accounting app,accounting,0.8604342109515652
list valid godown id,godown id,0.86039938104142
product availability stock,product stock,0.8603962942839732
smart filter,filter,0.8603946863172467
report selected sold product,view detailed information one sold product,0.860267364201647
automatic reminder,reminder,0.8602060857450091
apply discount,discount rate,0.8600928506788962
added amount,total amount,0.8600658741928575
new page,page,0.8600339371301051
quantity location batch item,quantity location,0.859974569431331
cash journal,cash content,0.8599287498309443
user report,reporting,0.8597384123019668
update customer name,customer name customer number,0.8597371325242593
customer id,customer number,0.859614191105686
contract price,negotiated price,0.8595458377184864
privilege store owner,ecommerce store owner,0.8594533342731818
local po intuit,local po inventory,0.8593801534383168
add form,form builder,0.8593368966405632
customer name access key,access key,0.8593025998433144
pickup,pickup store,0.859160150089429
organization,organize,0.8591249368335463
desired product,product,0.8590790013656859
browse delivery information related contract sale,sale information,0.8590261141576337
client customer buy item,client inventory,0.8589979585563211
pertinent information,necessary information,0.8589835725921269
contact person,email contact address,0.8589758339676428
type product,product variant,0.8589345641759834
report,requested report,0.8588775126821282
lead time,vendor lead time,0.8588608529368433
sale app,sale activity,0.8588341552603258
employee account,employee,0.8587889349198397
barcode printed loyalty card,barcode,0.858765503737917
payment successfully processed,order payment,0.8585852155379307
employee account,employee record,0.8585815112256654
address book,address,0.8585642650381449
view,viewer,0.8584672062820605
intuitive user interface,simple graphical user interface gui,0.8583153188951892
customer purchasing beyond certain threshold,customer buy minimum quantity,0.8582650319400909
client satisfaction,client customer,0.8582593233160636
invalid,valid,0.8582463438673471
easy reference,reference,0.8582136327627492
customer total purchase,customer payment,0.8581365886530353
minimum quantity per location,minimum quantity per supplier,0.8578874600034773
business,business need,0.8578106375677191
staff name access key,access key,0.8575577403080947
total price,total amount purchased,0.8575303027779936
information sale,detailed sale information,0.8574942143122626
order online payment,online purchase,0.8574773852316755
information online,information,0.8574336942134156
data successfully updated,successfully updated,0.8573838143322262
log sale individual web store,tracking individual sale,0.8573820642211615
filter review,filter,0.8572993394039057
client item online,item online,0.8572681739192594
product record,rich product identity record,0.8572310290172531
sale effectiveness,sale activity,0.8567685093829565
employee already registered,employee registration process,0.8567529715842519
existing staff member,staff,0.856749016620143
shared amongst sale person,sale person,0.8567228587742151
input delivery receipt number,payment receipt number,0.8566636261840832
validity,valid,0.8566590883698474
choose,option,0.8565922039268581
return entry,stock return entry,0.8565229466656792
real time reflection client store online inventory,online inventory,0.8563761220032092
preference,customer preference,0.8563612494896158
instruction service reminder,automatic reminder,0.8563434490978232
temporary discount,discounted price,0.8563273103663576
contract price,contract sale,0.856264594489315
set quantity,specific quantity,0.8561923769538801
deleting inventory mysql database,creating inventory mysql database,0.8561042971273117
client item online,client customer buy item,0.8559933729382215
loyalty point,loyalty program,0.8559910859460474
overview sale,comprehensive sale information,0.855859166832134
accurate delivery time,delayed delivery,0.8557730021425449
advanced reporting engine,report tracking analysis purpose,0.8557264445267803
stage,description stage,0.8555802740519903
important opportunity task,business opportunity,0.8555160028748168
item received,receive product,0.8554882041578882
specified sold product,one sold product,0.8554788296300729
advanced reporting engine,report generation,0.8553733150897658
google search,searched product,0.855350590564668
purchase manufacturing order upon sale order confirmation,confirmed sale order,0.8553229766000569
accounting issue,accounting record,0.8552663881300602
asterisk v voip server,voip call,0.8552296646451643
search engine,search engine optimization tool,0.8551577528266161
employee record,employee name,0.8551244651671838
communication client ’ local po web store,client local po inventory,0.8550984971941717
date,specified date,0.8549979546879061
order line,order,0.8547745874145795
sale person logged system,sale person information,0.8547591976385904
monthly delivery,delivery,0.8547570349991952
odoo accounting,odoo,0.8547556706537889
set quantity,quantity,0.8547327665727136
backend catalogue system,backend inventory system,0.8546973873516766
arrange delayed delivery,delivery time,0.8546920210710529
current inventory level,inventory,0.8545178835267928
retail record,retail,0.8543223676792471
ability,capability,0.8542943939374529
number store owned,store owned,0.854166039208634
existing customer email address,update email address,0.8539645233020416
input,relevant input form,0.8538613128736705
customer sale person product statistic,find customer product,0.8537985606047196
successful product addition,quantity new product,0.8537763173097999
customer manufacturer,customer,0.8537295404557486
godown,godown manager,0.8535894751713438
displayed list,list,0.8535156598660305
specify accounting category,accounting,0.8533356877273834
product name price,price product sold,0.8531654326029459
item involved,necessary item,0.8531114382893756
activity,relevant activity,0.8530080031790835
downloadable window service package,window service,0.852916707211371
interface,one clear interface,0.8527962483701003
assign barcodes sealed package,barcodes,0.8527871541771227
new user account,personal user account,0.852735005911235
product refund,returned product,0.8526707395172924
godown information,godown id,0.8525613379472847
product name access key,customer name access key,0.8525432312549776
type product,certain product,0.8525067251868785
transaction customer,customer,0.8524460349136712
corresponding product information,corresponding product price,0.8524176592100734
zoho book,zoho commerce,0.8523842782898258
quotation online,request quotation,0.8523828759772831
specific ecommerce module,ecommerce store,0.8523393127586502
action taken,user action taken,0.8523062612220389
work done less effort,minimal effort,0.8522901918751367
customer form,customer record,0.852257593631726
right price,price,0.852224872930616
browsing sale data,comprehensive sale information,0.8519091078846155
picking order,single order,0.8518339814085278
return report,generation return detail report,0.8517853263660445
length,size,0.8517555053171522
godown information,godown,0.8516453815655289
item,item received,0.8515932044934617
print request,take print,0.851546296130979
date,future date,0.8515293021148239
list least sold product total revenue,list sale person total revenue,0.8514666636509034
update,successfully updated,0.85144584189878
user transaction processed,transaction customer,0.8514120166862333
admin normal user,admin,0.8512411988822208
sign ecommerce store,ecommerce store,0.851235842718945
order fulfilled time,time new order,0.8511897375996216
odoo accounting,odoo database,0.8510954267868345
customer portal,online portal,0.8510282830466485
add specification,specification field,0.8510279481308873
reason scrap,scrap product,0.8510112850516088
set customer preference,specific customer option,0.8509762896351456
mrr,mrr dashboard,0.8509509299726036
receive product,returned product,0.8509147032188826
updated contract,existing contract,0.8509120357338015
fifo,firstin first fifo,0.8508581566954359
call automatically,call browser automatically manually,0.8507541703315662
entry invalid nonexistent godown id,list valid godown id,0.8507411610992884
multicompany setup,sale order purchase order multicompany setup,0.8506950884995097
work done less effort,effortless,0.850576779854681
right opportunity,key opportunity,0.8503780761676166
required field,required detail entered,0.8503742008814085
template,email template,0.8503447927633074
contract using contract number access key,using access key,0.8503099264213617
partial order,preceding order,0.8500750400067032
perform action related adding payment wholesale transaction,wholesale transaction,0.8500206086320139
payment option,online payment,0.8499527922608685
user information online database,customer information database,0.8499228468650623
pro forma invoice,invoice,0.8499148561909756
customer debt,customer payment,0.8499122624860203
date date value,date,0.8498751082684377
tracking individual sale,sale person information,0.8498242036637087
event attendee,upcoming event,0.8498159149563737
account system,account,0.8498101796583432
backend system,backend inventory system,0.8496986423802516
retail price,retail,0.8496411513762561
custom color,existing color scheme,0.849560591918439
item web cart,virtual web cart,0.8495517250539997
inwards entry,inwards transaction,0.8495471464337169
perform action related adding payment wholesale transaction,specific wholesale transaction,0.8493374707549628
sale assistant error missing required field,sale assistant missing invalid data,0.8488313436338284
page,page matter,0.8488171933726103
realtime stock count,recurring stock count,0.8487790515419585
order line,order number,0.8487770456625339
banner,fullsize banner,0.8487752781211217
authorized user,user permission,0.8487277925783387
update customer name,different customer name,0.8487227023583541
product record,product data,0.8487207169775906
online product information,detailed product information,0.848683307586106
simple graphical user interface gui,fast intuitive user interface,0.8486245820084408
reason return,return,0.8483320323845817
look customer,identify customer,0.8482396792395114
creation new similar product,find existing product,0.8481921578233407
description,detail,0.8478358247711172
privilege author,privilege admin,0.8478353610833145
menu item,main menu,0.8478107001439497
monitor cash register adjustment,cash register,0.8477508648601059
odoo database,odoo,0.8477453469081981
vital storage location,specific storage location,0.8476716830477852
real time reflection client store online inventory,client inventory,0.8476678510553544
odoo sale,odoo accounting,0.8476653563227894
client satisfaction,client,0.8476637644029359
retail number,partial retail number,0.8475926275948069
different category,category name,0.8475494506211863
number,product number,0.8473807661883223
data database,customer database,0.8472324165982592
roi,roi marketing campaign,0.8470940624421528
minimal quantity,quantity,0.8469505916674857
browse delivery information related wholesale,wholesale,0.8469250493867442
limit,set limit,0.8468947077464974
minimum quantity per location,quantity location,0.8468902138261134
inventory date,inventory,0.8468887864607282
adding new employee,new employee record,0.8468222132322555
crm,integrated crm app,0.8468116853697926
existing promotion system,current promotion,0.84680819967019
purchase manufacturing order upon sale order confirmation,purchase order,0.8467805981719057
reordering schedule,schedule,0.8467298009465786
inventory date,shipment date,0.8466968370088395
store,store owned,0.8466867475579697
odoo live chat,odoo,0.8465010087396834
holistic understanding ecommerce store performance,ecommerce store,0.846499911323626
account holder,user account,0.8464782517564171
assign barcodes sealed package,configure multiple barcodes,0.8464773580938956
delivery charge,delivery order,0.8463485106137236
payment due date,delivery due date,0.8462832887759137
template,template email,0.8462744617261941
online database client stock,online stock,0.846226541542515
category base category,hierarchy category,0.8461730814924866
variant,variant component,0.8460845914108373
current stock level product godown,stock level,0.8460706342703233
stock record,stock,0.8457550373014572
first name,name,0.8457203609778848
partial number wholesale access key,partial wholesale number,0.8456289505066941
convert quotation,quotation,0.8456090317899623
minimal quantity,minimum maximum quantity value,0.8455440593059571
storage category,storage need,0.8455050809204638
customer name price returned product,customer name,0.845489745572211
payment date,payment,0.8454304874072283
contract information,contract number,0.845329684933394
user login session,user login status,0.8453270920437248
user system,account system,0.8452667817545758
username password employee,employee account,0.8452182824582903
pro forma invoice,incoterms invoice,0.8451892503391555
odoo stock integration,odoo accounting,0.8451764466143474
user category,category,0.8451285520421357
manage pipeline,opportunity pipeline,0.8450798719870964
contract information,contract,0.845068135246327
multiple domain,existing domain,0.8449999713735695
partial order,single order,0.8449168788547491
multiple order time,order fulfilled time,0.8449163573965026
unique contract number,unique customer number,0.8448633921965081
forecast order,stock forecast,0.8447947848659885
last name,name,0.8445657932856268
related product,certain product,0.8445212152063019
normal user,user,0.8445164153462742
existing contract sale data,sale information,0.8444910050305836
item id,item,0.8443907931735211
additional product contract,contract delivery product,0.8443479922112076
secure password,username password,0.8442924655451531
create smart automatic batch,batch,0.8442846730353436
input delivery data,new delivery data,0.8442654393685014
two type,type,0.8442529420371933
color,custom color,0.8442077164874325
dynamic report,report generation,0.8439956489768703
subdomain,domain,0.8438725995173706
price list,price product,0.8438274146150773
email directly app,send rfqs email directly app,0.8435450003170856
authorized user,user account,0.8435098947447623
logged conflict,user conflict occurred,0.8432353042535606
customized return instruction,display return instruction,0.8432151968969269
required employee data,detail specific employee,0.843189941003989
total amount invoiced,incoterms invoice,0.8431405457640708
realtime,stock realtime,0.8430688404050255
required field filled,required detail entered,0.8429570974285447
relevant image,image,0.8429401844069235
category base category,category,0.8429159268538899
individual post displayed,various layout display listed post,0.8428343019819646
activity,activity behavioral pattern,0.8428027480876633
total amount invoiced,total payment made,0.8427791131010788
track payment pattern,payment data,0.8427326659509169
sale assistant update existing customer email address,update email address,0.8427242932632129
forecast order,forecasted report,0.8427062632536979
entered field,field,0.8424730767038998
cash,cash journal,0.8424359640043306
staff name access key,using access key,0.8424328262334497
additional product extra option,finding additional product,0.842347533942807
product detail associated contract sale,detailed list contract sale delivery,0.8422480325402972
custom route,route,0.8422152656073103
full overview,detailed information,0.8421366692124987
input delivery date contract sale delivery,delivery date,0.8421355994807526
purchase app,online purchase,0.8421102964897231
custom field,field,0.8420872175008749
manufacturing order,wholesale order,0.8419429211074505
printed receipt,receipt date,0.8417974630591958
quotation line item,quotation online,0.8417246051099255
different price,price product,0.8415827399979322
printing rfqs,rfqs,0.8415493695173104
product registration form,registration,0.8415292496939915
stock check,stock purchase,0.8413255645802622
forecasted report,stock forecast,0.8413221239230422
new retail number,new retail record,0.841317768788836
stock check,stock,0.8413138545108418
single odoo environment,odoo,0.8411519176398361
view wholesale data,browsing sale data,0.8408382269763258
automatically,automatically updated,0.8407816194490652
mail,email address,0.8407377083114629
requested report,reporting,0.8407027696668784
accounting app,accounting management,0.8406283515494828
relevant information buyer upon purchase,comprehensive sale information,0.8406189847219725
integrated scale,scale,0.8404841226257121
thirdparty logistics pl service,thirdparty shipping carrier,0.840368937605856
draft invoice,incoterms invoice,0.840176694073606
email address phone number,phone number,0.8396560882690516
choice,option,0.8396334768850727
product price quantity requested customer,price product,0.8395981376019075
order fulfillment route,delivery order,0.8395707703968542
required employee data,employee record,0.8395457511440256
salesassistant,salesperson,0.8393470822736799
file storage,storage category,0.8392157420936257
one unit current stock amount product,product quantity stock,0.83917343808838
online database client stock,online inventory database,0.8391705961593001
contract option,existing contract,0.8391114595057145
monitor,screen,0.8389783269143665
necessary item,necessary information,0.8389670459325231
specific product variant quotation cart,product variant,0.838845303978176
one unit current stock amount product,updated stock amount product,0.8388164457574929
alert,notification,0.8388023213370169
product detail associated contract sale,sale information,0.8387900438249278
daily sale,sale,0.838744339894942
company partner,multiple company,0.8387123672170338
master inventory list,inventory,0.8387089640011793
complete,completeness,0.8386777953606368
shared amongst sale person,right sale team sale person,0.8386664163519615
convert quotation,quotation line item,0.8385658619485894
employee already registered,adding new employee,0.8385143627837222
dealing log information,log,0.8382970700251219
detail inwards,generation inwards detail report,0.8382970303082655
proper date format,date date value,0.8382695975150987
data correction update,data successfully updated,0.8381714388121941
stock record,stock number,0.8380809558538775
local postal service,usps,0.8380678101008513
track payment pattern,payment processing,0.8380456053393223
clone feature,cloned,0.8379226576107393
full stock move report,stock statement report,0.8377920469017763
user report,generated report,0.837751243086964
monthly delivery,delivery method,0.8376542773209374
sale proceeding,sale information,0.837612277310577
new product availability,existing product,0.8375889987211866
android,app,0.8375338131694332
product name access key,access key,0.8373702479177068
negotiated price,negotiating efficiently,0.8373319140643876
least one item stock,low stock,0.8372755585876321
user recent sale,user sale manager,0.8370959988985647
put order aside,single order,0.8369275434044093
possible combination product attribute,product attribute,0.8369066282871875
invoice aging,incoterms invoice,0.8368345945489377
product refund,user transaction refunded,0.8367543678636724
selling anywhere within store,online sale,0.8366923260737051
shipping zone,shipping address,0.8366663041489817
trigger,trigger purchase,0.8365866745208597
return condition assessment,return status,0.8363720153928108
without validity date,specified date,0.8362957217804068
input delivery date contract sale delivery,contract sale delivery,0.8362636244505256
product description,product information,0.8362025182043527
coupon id validity,coupon,0.8360504838088768
future order,order,0.8360138163392182
additional product contract,additional product extra option,0.8359571989950032
print icon,print option,0.8358061675862181
list returned product,returned product quantity,0.8357272358340506
best offer send purchase order easily,purchase order,0.8357259919372279
corrected added information,updated information,0.8356207500482542
godown manager,godown information,0.8354971306441877
sale pipeline,manage pipeline,0.8353216501311487
confirmation,confirmation message,0.83528282249663
future date,future order,0.8351659725143048
predefined product,given product,0.8351445093357295
decrease stock,low stock,0.8349299755181603
city,country state city,0.8348492667644942
id,item id,0.8348325558916707
service contract,existing contract,0.8347071344929812
returned product updated inventory valuation,updated stock amount product,0.8346498241579111
product option,less sold product option,0.8346348939496709
quotation specific customer,specific customer,0.834612659496141
creating initial web store,web store store,0.8344881918010469
error message,invalid,0.8344736314669168
last product,product,0.8343463117609151
existing customer email address,email address,0.8341989740063722
user login session,sale manager login session,0.8341339287189884
country state city,country state city lead automatically,0.8341228098854271
create,quick creation,0.8340587504282728
new user,normal user,0.8338863235786629
last product,new product,0.833829601896102
product price quantity requested customer,customer buy minimum quantity,0.833789184843531
recurring revenue,revenue,0.8337549535621194
single company,single product,0.8337518213688571
reward loyal customer discount,discount,0.8337429366841225
user enter product id,user input customer id,0.833679012876002
quotation specific customer,quotation specific product,0.8335950371023924
organize product,individual product,0.8335440313191343
unique product number,unique wholesale number,0.8334958829926835
current stock status product,stock update,0.8332511270322275
